Company,Change
Cosmo First,+ 85.15
Suven Life Sciences,+ 73.35
Khaitan (India),+ 69.44
Nahar Poly Films Ltd,+ 69.24
HLE Glascoat,+ 61.24
AtlasCycles(Haryana),+ 60.96
ASM Technologies Ltd,+ 59.97
Dynamic Cables,+ 57.25
Delta Manufacturing,+ 55.37
Centum Electronics L,+ 54.21
Nelcast Ltd.,+ 52.42
GE Vernova T&D India,+ 49.50
IFGL Refractories,+ 48.77
Godavari Biorefineri,+ 47.99
Kriti Industries,+ 47.50
Nucleus Software,+ 46.26
Camlin Fine Sciences,+ 45.60
Premier Explos.,+ 45.05
Consolidated Constru,+ 44.65
Linc L,+ 44.01
Kilitch Drugs(I),+ 43.90
TIL Ltd.,+ 42.11
Maan Aluminium Ltd.,+ 40.61
Oriental Trimex,+ 40.54
Banco Products,+ 40.42
Nahar Indust.Ent,+ 40.12
Cupid Ltd.,+ 39.90
Ecos (India) Mobilit,+ 39.79
Apollo Micro Systems,+ 39.54
Praxis Home Retail L,+ 39.22
Honda India Power,+ 38.85
Kernex Microsystems,+ 38.16
Ausom Enterprise,+ 37.97
BLS E-Services,+ 37.83
Khaitan Chemical,+ 37.71
Alicon Castalloy,+ 37.50
Racl Geartech,+ 37.45
Rollatainers Ltd,+ 37.34
Inspirisys Solutions,+ 36.47
Visaka Indus.,+ 36.00
Precision Wires,+ 35.46
Hind Rectifiers,+ 34.87
Man Industries I,+ 34.55
Aarti Drugs Ltd,+ 34.23
Credo Brands Marketi,+ 34.21
Northern Spirits,+ 34.18
IOL Chemicals and Ph,+ 33.83
India Glycols,+ 33.11
Pearl Global Industr,+ 33.09
Reliance Home Fin,+ 32.53
Emcure Pharmaceutica,+ 32.32
DCM Financial,+ 32.21
Nahar Spg Mills,+ 31.66
Eimco Elecon Ind,+ 31.58
Saksoft Ltd.,+ 31.31
Advait Energy Trans,+ 31.25
ICDS Ltd.,+ 30.95
HPL Electric & Power,+ 30.68
Sportking India,+ 30.58
Shriram Pistons,+ 30.36
NDR Auto Components,+ 30.21
Dishman Carbogen Amc,+ 30.17
Shankara Building Pr,+ 30.09
Exxaro Tiles,+ 29.76
Syncom Formul.,+ 29.28
NDTV,+ 29.22
Quality Power Electr,+ 29.21
Centrum Capital,+ 29.16
Aarti Surfactants,+ 28.91
Sandhar Technologies,+ 28.70
Popular Vehicles,+ 28.60
Dredging Corpora,+ 28.60
Universal Cables,+ 28.52
Oriental Aromatics,+ 28.44
Interarch Building,+ 28.31
India Pesticides,+ 28.13
Mangalore Chem.,+ 27.97
Munjal Showa Ltd,+ 27.84
Lumax Auto Technolog,+ 27.68
Dhanuka Agritech Ltd,+ 27.56
Yuken India,+ 27.17
TBO Tek,+ 27.09
T Nadu Newsprint,+ 26.81
BirlaNu,+ 26.73
Allied Blenders,+ 26.72
Sigma Solve,+ 26.55
Subros Ltd.,+ 26.40
Valiant Organics,+ 26.35
A2Z Infra Engineer,+ 26.34
Hindware Home Innova,+ 26.24
Privi Speciality Che,+ 25.98
Standard Glass Linin,+ 25.80
Venus Remedies L,+ 25.70
Jet Freight Logistic,+ 25.69
HOV Services Ltd.,+ 25.51
Zaggle Prepaid Ocean,+ 25.49
Antony Waste Handlin,+ 25.49
Mold-Tek Packaging,+ 25.29
DAM Capital Advisors,+ 25.23
SRM Contractors,+ 25.21
Apollo Pipes,+ 25.09
Ram Ratna Wires,+ 25.06
